renewal_date,status,SAID,Chan.Prof
20130801,Loss,101828909874,Indirect
20130401,Loss,101830800785,Unknown
20130801,Loss,101832170408,Direct
20130401,Loss,101832176204,Unknown
20131201,Loss,101833931795,Indirect
20131001,Loss,101837534944,Direct
20130801,Loss,101838742231,Direct
20130801,Loss,101838812523,Direct
20130501,Loss,101838844405,Direct
20130501,Loss,101838857069,Direct
20130601,Loss,101840502637,Direct
20130601,Loss,101840524053,Direct
20130601,Converted,101840524113,Direct
20130601,Loss,101840524343,Direct
20130801,Loss,101840971355,Indirect
20130801,Converted,101842464349,Indirect
20130801,Loss,101843580388,Direct
20130801,Loss,101843580448,Direct
20130801,Loss,101843580508,Direct
20130601,Loss,101849032110,Indirect
20130701,Loss,101849035019,Indirect
20130501,Loss,101851832406,Indirect
20130601,Loss,101854768057,Indirect
20130501,Loss,101860747010,Direct
20130801,Loss,101860951986,Direct
20130801,Loss,101860958215,Direct
20130501,Loss,101862883421,Direct
20130401,Loss,101863707608,Indirect
20130801,Loss,101865844605,Direct
20130501,Loss,101865934768,Direct
20130501,Loss,101866107435,Direct
20130501,Loss,101866443400,Direct
20130801,Converted,101866837659,Direct
20130701,Converted,101867774725,Direct
20130418,Loss,101868535810,Direct
20130417,Loss,101868564800,Direct
20130401,Loss,101869382024,Direct
20130701,Loss,101869968669,Direct
20130701,Loss,101869994164,Direct
20130701,Converted,101870016385,Direct
20130701,Loss,101870039044,Direct
20130418,Loss,101871034161,Direct
20130701,Converted,101871309333,Direct
20130701,Converted,101871281787,Direct
20130701,Loss,101871598136,Direct
20130701,Loss,101871795500,Direct
20130801,Loss,101873398111,Direct
20130701,Loss,101875012179,Direct
20130501,Loss,101875209539,Direct
20130701,Converted,101875892068,Direct
20130701,Loss,101875902677,Direct
20130701,Loss,101875922208,Direct
20130701,Loss,101875960114,Direct
20130701,Loss,101876300800,Direct
20130701,Loss,101876792340,Direct
20130701,Converted,101876845600,Direct
20130701,Loss,101878653335,Direct
20130701,Loss,101878787550,Direct
20130701,Loss,101879528945,Direct
20130701,Loss,101879578802,Direct
20130701,Loss,101879567514,Direct
20130701,Loss,101879572426,Direct
20130601,Loss,101880272614,Indirect
20130701,Converted,101881763863,Direct
20130701,Loss,101881729748,Direct
20130701,Loss,101881782961,Direct
20130701,Loss,101881758661,Direct
20130501,Loss,101885829406,Direct
20140101,Loss,101890924730,Indirect
20130501,Loss,101891248202,Direct
20130601,Loss,101892853158,Indirect
20130601,Loss,101892910502,Indirect
20130601,Loss,101892989099,Indirect
20130701,Loss,101898765136,Direct
20130501,Loss,101900406330,Direct
20130801,Loss,107000058903,Unknown
20130701,Loss,107000190181,Indirect
20130801,Loss,107012151645,Direct
20130501,Converted,107014376578,Indirect
20130501,Loss,107014382372,Indirect
20130401,Loss,107019670590,Direct
20130801,Loss,107021527738,Direct
20130501,Loss,107022718682,Direct
20130401,Loss,107024491774,Direct
20130401,Loss,107025315200,Indirect
20130401,Loss,107025315364,Indirect
20130401,Loss,107025378755,Direct
20130401,Loss,107025513101,Direct
20130401,Loss,107025938912,Direct
20130401,Loss,107026012022,Direct
20130401,Converted,107026037677,Direct
20130401,Loss,107026935815,Unknown
20130801,Loss,107027032914,Direct
20130501,Loss,107029401400,Direct
20130315,Converted,107030066256,Direct
20130315,Converted,107030084981,Direct
20130401,Loss,107030118792,Indirect
20130401,Loss,107030097475,Direct
20130401,Loss,107030758103,Indirect
20130401,Converted,107031308514,Direct
20130401,Loss,107031361738,Direct
20130401,Loss,107031373569,Direct
20130401,Loss,107031375924,Direct
20130316,Loss,107031809104,Indirect
